Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,11180.000000,11180.000000,11180.000000,11180.000000,9414.000977,0
2018-01-02,11235.000000,11620.000000,11000.000000,11175.000000,9409.790039,12108500
2018-01-03,11175.000000,11180.000000,10640.000000,10800.000000,9094.024414,13805500
2018-01-04,10680.000000,10800.000000,10655.000000,10680.000000,8992.981445,9651500
2018-01-05,10680.000000,10800.000000,10635.000000,10800.000000,9094.024414,8882500
2018-01-08,10800.000000,10940.000000,10800.000000,10880.000000,9161.386719,6800000
2018-01-09,10885.000000,10905.000000,10700.000000,10700.000000,9009.820313,15647500
2018-01-10,10700.000000,10885.000000,10700.000000,10840.000000,9127.708008,7498000
2018-01-11,10840.000000,10875.000000,10765.000000,10875.000000,9157.178711,7824500
2018-01-12,10875.000000,10915.000000,10740.000000,10850.000000,9136.125977,5859500
2018-01-15,10850.000000,10920.000000,10850.000000,10920.000000,9195.069336,5317000
2018-01-16,10920.000000,11000.000000,10920.000000,11000.000000,9262.431641,6961500
2018-01-17,10960.000000,10960.000000,10860.000000,10870.000000,9152.966797,23525500
2018-01-18,10870.000000,10970.000000,10865.000000,10870.000000,9152.966797,9439000
2018-01-19,10870.000000,11000.000000,10860.000000,10890.000000,9169.807617,14025000
2018-01-22,10890.000000,10900.000000,10875.000000,10880.000000,9161.386719,11736000
2018-01-23,10900.000000,11100.000000,10860.000000,11100.000000,9346.635742,9284000
2018-01-24,11100.000000,11135.000000,10980.000000,11120.000000,9363.478516,8882500
2018-01-25,11140.000000,11155.000000,11005.000000,11005.000000,9266.641602,6900000
2018-01-26,11025.000000,11110.000000,10900.000000,10910.000000,9186.650391,7240500
2018-01-29,11000.000000,11080.000000,10920.000000,11080.000000,9329.796875,9640000
2018-01-30,11080.000000,11090.000000,10950.000000,10975.000000,9241.381836,13392000
2018-01-31,10975.000000,11140.000000,10500.000000,10880.000000,9161.386719,14159000
2018-02-01,10900.000000,11070.000000,10880.000000,10880.000000,9161.386719,8391500
2018-02-02,11070.000000,11075.000000,10900.000000,11005.000000,9266.641602,14217000
2018-02-05,10790.000000,11000.000000,10790.000000,10825.000000,9115.075195,10111500
2018-02-06,10700.000000,10955.000000,10700.000000,10780.000000,9077.182617,30560000
2018-02-07,10900.000000,10980.000000,10900.000000,10935.000000,9207.699219,12607500
2018-02-08,10990.000000,10990.000000,10800.000000,10875.000000,9157.178711,10242000
2018-02-09,10900.000000,11080.000000,10865.000000,11080.000000,9329.796875,12072000
2018-02-12,11040.000000,11110.000000,10920.000000,11000.000000,9262.431641,9905500
2018-02-13,11000.000000,11040.000000,10930.000000,10985.000000,9249.800781,7792500
2018-02-14,10920.000000,10980.000000,10855.000000,10900.000000,9178.227539,7630000
2018-02-15,10860.000000,11000.000000,10860.000000,10910.000000,9186.650391,10587500
2018-02-16,10910.000000,10910.000000,10910.000000,10910.000000,9186.650391,0
2018-02-19,10900.000000,10990.000000,10860.000000,10960.000000,9228.750000,6783500
2018-02-20,11000.000000,11000.000000,10820.000000,10890.000000,9169.807617,10324500
2018-02-21,10865.000000,10900.000000,10840.000000,10900.000000,9178.227539,8576000
2018-02-22,10900.000000,10930.000000,10800.000000,10800.000000,9094.024414,10958000
2018-02-23,10890.000000,10935.000000,10790.000000,10890.000000,9169.807617,13641000
2018-02-26,10890.000000,10890.000000,10780.000000,10795.000000,9089.814453,7089500
2018-02-27,10760.000000,10795.000000,10750.000000,10795.000000,9089.814453,13849000
2018-02-28,10900.000000,10920.000000,10745.000000,10780.000000,9077.182617,20500000
2018-03-01,10780.000000,10840.000000,10775.000000,10795.000000,9089.814453,8966000
2018-03-02,10850.000000,10870.000000,10755.000000,10780.000000,9077.182617,6073000
2018-03-05,10900.000000,10900.000000,10795.000000,10795.000000,9089.814453,16006500
2018-03-06,10760.000000,10795.000000,10505.000000,10505.000000,8845.621094,9490000
2018-03-07,10540.000000,10560.000000,10200.000000,10230.000000,8614.061523,20482500
2018-03-08,10260.000000,10400.000000,10235.000000,10240.000000,8622.482422,12961500
2018-03-09,10240.000000,10265.000000,10040.000000,10110.000000,8513.016602,12133500
2018-03-12,10165.000000,10205.000000,10055.000000,10090.000000,8496.179688,16465500
2018-03-13,10090.000000,10100.000000,10035.000000,10090.000000,8496.179688,11372500
2018-03-14,10150.000000,10180.000000,10010.000000,10025.000000,8441.444336,4367500
2018-03-15,10010.000000,10100.000000,9890.000000,10025.000000,8441.444336,7245500
2018-03-16,10020.000000,10030.000000,9830.000000,9940.000000,8369.870117,22295000
2018-03-19,9940.000000,10000.000000,9940.000000,9980.000000,8403.552734,3898000
2018-03-20,9900.000000,10000.000000,9900.000000,10000.000000,8420.393555,6551000
2018-03-21,10050.000000,10255.000000,10050.000000,10255.000000,8635.112305,7897000
2018-03-22,10360.000000,10360.000000,10055.000000,10150.000000,8546.699219,9370500
2018-03-23,9880.000000,10195.000000,9870.000000,10195.000000,8584.589844,12332500
2018-03-26,10200.000000,10210.000000,10060.000000,10070.000000,8479.337891,11523500
2018-03-27,10100.000000,10245.000000,9945.000000,10000.000000,8420.393555,6272000
2018-03-28,10000.000000,10000.000000,9875.000000,9880.000000,8319.347656,4383500
2018-03-29,9880.000000,9925.000000,9795.000000,9905.000000,8340.398438,11235500
2018-03-30,9905.000000,9905.000000,9905.000000,9905.000000,8340.398438,0
2018-04-02,10030.000000,10070.000000,9910.000000,10040.000000,8454.075195,6970500
2018-04-03,10030.000000,10080.000000,9980.000000,10020.000000,8437.234375,5223500
2018-04-04,10020.000000,10070.000000,9810.000000,9910.000000,8344.611328,5087000
2018-04-05,9980.000000,10045.000000,9980.000000,10005.000000,8424.604492,3107000
2018-04-06,10005.000000,10160.000000,9915.000000,10155.000000,8550.909180,3063500
2018-04-09,10155.000000,10380.000000,10090.000000,10380.000000,8740.368164,5733500
2018-04-10,10380.000000,10400.000000,10095.000000,10400.000000,8757.208984,8846500
2018-04-11,10420.000000,10500.000000,10350.000000,10380.000000,8740.368164,6913000
2018-04-12,10340.000000,10350.000000,10190.000000,10340.000000,8706.688477,5920000
2018-04-13,10230.000000,10330.000000,10040.000000,10040.000000,8454.075195,4735500
2018-04-16,10040.000000,10040.000000,10040.000000,10040.000000,8454.075195,0
2018-04-17,10040.000000,10040.000000,10040.000000,10040.000000,8454.075195,0
2018-04-18,10220.000000,10380.000000,10220.000000,10315.000000,8685.635742,7122000
2018-04-19,10315.000000,10315.000000,10315.000000,10315.000000,8685.635742,0
2018-04-20,10315.000000,10315.000000,10315.000000,10315.000000,8685.635742,0
2018-04-23,10220.000000,10220.000000,10145.000000,10160.000000,8555.119141,18258500
2018-04-24,10060.000000,10060.000000,9600.000000,9600.000000,8083.577637,29048500
2018-04-25,9600.000000,9600.000000,9600.000000,9600.000000,8083.577637,0
2018-04-26,9600.000000,9600.000000,9600.000000,9600.000000,8083.577637,0
2018-04-27,9600.000000,9600.000000,9600.000000,9600.000000,8083.577637,0
2018-04-30,9230.000000,9470.000000,9230.000000,9270.000000,7805.705078,6115500
2018-05-01,9270.000000,9270.000000,9270.000000,9270.000000,7805.705078,0
2018-05-02,9320.000000,9350.000000,9080.000000,9190.000000,7738.341309,12729500
2018-05-03,9160.000000,9180.000000,9040.000000,9040.000000,7612.036621,7128500
2018-05-04,9000.000000,9135.000000,8980.000000,9070.000000,7637.296875,6355500
2018-05-07,9160.000000,9595.000000,9160.000000,9580.000000,8066.737305,9679500
2018-05-08,9580.000000,9585.000000,9380.000000,9410.000000,7923.589355,9377000
2018-05-09,9225.000000,9905.000000,9225.000000,9890.000000,8327.769531,19843000
2018-05-10,9890.000000,9890.000000,9890.000000,9890.000000,8327.769531,0
2018-05-11,9700.000000,9925.000000,9680.000000,9800.000000,8251.987305,21548500
2018-05-14,9800.000000,9800.000000,9800.000000,9800.000000,8251.987305,0
2018-05-15,9800.000000,9805.000000,9400.000000,9490.000000,7990.953125,10121500
2018-05-16,9300.000000,9420.000000,9060.000000,9150.000000,7704.659180,17244000
2018-05-17,9160.000000,9270.000000,9100.000000,9100.000000,7662.558105,23338500
2018-05-18,9120.000000,9270.000000,9120.000000,9235.000000,7776.233398,11921500
2018-05-21,9255.000000,9335.000000,9160.000000,9240.000000,7780.442383,5784000
2018-05-22,9395.000000,9410.000000,9235.000000,9240.000000,7780.442383,9639000
2018-05-23,9290.000000,9420.000000,9260.000000,9280.000000,7814.124512,7356000
2018-05-24,9370.000000,9645.000000,9355.000000,9620.000000,8100.418945,8080000
2018-05-25,9600.000000,9600.000000,9355.000000,9360.000000,7881.489258,10020000
2018-05-28,9360.000000,9465.000000,9300.000000,9420.000000,7932.010742,8938500
2018-05-29,9420.000000,9420.000000,9420.000000,9420.000000,7932.010742,0
2018-05-30,9420.000000,9590.000000,9300.000000,9310.000000,7839.386230,12386500
2018-05-31,9330.000000,9470.000000,9080.000000,9120.000000,7679.397949,38013500
2018-06-01,9120.000000,9120.000000,9120.000000,9120.000000,7679.397949,0
2018-06-04,9120.000000,9240.000000,9080.000000,9080.000000,7731.337402,13623000
2018-06-05,9120.000000,9360.000000,9090.000000,9360.000000,7969.750488,10943000
2018-06-06,9360.000000,9380.000000,9215.000000,9240.000000,7867.572266,10571000
2018-06-07,9270.000000,9325.000000,9240.000000,9240.000000,7867.572266,6000500
2018-06-08,9180.000000,9245.000000,9080.000000,9080.000000,7731.337402,25477000
2018-06-11,9080.000000,9080.000000,9080.000000,9080.000000,7731.337402,0
2018-06-12,9080.000000,9080.000000,9080.000000,9080.000000,7731.337402,0
2018-06-13,9080.000000,9080.000000,9080.000000,9080.000000,7731.337402,0
2018-06-14,9080.000000,9080.000000,9080.000000,9080.000000,7731.337402,0
2018-06-15,9080.000000,9080.000000,9080.000000,9080.000000,7731.337402,0
2018-06-18,9080.000000,9080.000000,9080.000000,9080.000000,7731.337402,0
2018-06-19,9080.000000,9080.000000,9080.000000,9080.000000,7731.337402,0
2018-06-20,9220.000000,9220.000000,8855.000000,8855.000000,7539.757813,29721000
2018-06-21,8940.000000,9010.000000,8775.000000,8840.000000,7526.985840,14450000
2018-06-22,8840.000000,8960.000000,8780.000000,8840.000000,7526.985840,15193500
2018-06-25,8860.000000,9100.000000,8780.000000,9000.000000,7663.220215,8633000
2018-06-26,9000.000000,9005.000000,8900.000000,8910.000000,7586.589355,9360000
2018-06-27,8910.000000,9190.000000,8880.000000,8885.000000,7565.303711,10589000
2018-06-28,8900.000000,9100.000000,8805.000000,8910.000000,7586.589355,13394500
2018-06-29,8920.000000,9220.000000,8920.000000,9220.000000,7850.543945,10911500
2018-07-02,9180.000000,9190.000000,9040.000000,9070.000000,7722.823730,5207500
2018-07-03,9000.000000,9040.000000,8810.000000,8935.000000,7607.875488,6845500
2018-07-04,8965.000000,9300.000000,8825.000000,9295.000000,7914.404297,5389500
2018-07-05,9240.000000,9340.000000,9090.000000,9250.000000,7876.087891,4884000
2018-07-06,9230.000000,9280.000000,9080.000000,9150.000000,7790.940430,6534500
2018-07-09,9240.000000,9280.000000,9115.000000,9280.000000,7901.631348,3660500
2018-07-10,9360.000000,9430.000000,9310.000000,9425.000000,8025.094727,7011000
2018-07-11,9400.000000,9525.000000,9320.000000,9505.000000,8093.211914,7940000
2018-07-12,9510.000000,9510.000000,9300.000000,9380.000000,7986.777832,4884500
2018-07-13,9340.000000,9465.000000,9330.000000,9380.000000,7986.777832,6592500
2018-07-16,9460.000000,9470.000000,9040.000000,9150.000000,7790.940430,7972500
2018-07-17,9080.000000,9115.000000,9005.000000,9080.000000,7731.337402,3969000
2018-07-18,9010.000000,9155.000000,9010.000000,9155.000000,7795.196777,4346500
2018-07-19,9150.000000,9160.000000,8950.000000,8950.000000,7620.646484,7982500
2018-07-20,8970.000000,8985.000000,8840.000000,8840.000000,7526.985840,6970000
2018-07-23,8840.000000,8960.000000,8830.000000,8900.000000,7578.074219,5777500
2018-07-24,8950.000000,8975.000000,8885.000000,8900.000000,7578.074219,5636500
2018-07-25,8900.000000,8900.000000,8795.000000,8810.000000,7501.442871,5838000
2018-07-26,8815.000000,8880.000000,8765.000000,8785.000000,7480.155762,10636000
2018-07-27,8785.000000,8865.000000,8715.000000,8865.000000,7548.272949,7331500
2018-07-30,8880.000000,8880.000000,8770.000000,8820.000000,7509.956543,9204500
2018-07-31,8760.000000,8760.000000,8530.000000,8650.000000,7365.206543,19481500
2018-08-01,8740.000000,8945.000000,8675.000000,8945.000000,7616.391113,14157500
2018-08-02,8945.000000,9045.000000,8900.000000,8990.000000,7654.706055,7817500
2018-08-03,8990.000000,9035.000000,8890.000000,8990.000000,7654.706055,5851500
